Quận,Loại,Diện tích (m²),Mức giá (tỷ),Số phòng ngủ,Số toilet
Đống Đa,Căn hộ chung cư,146.0,8.5,4,2
Đống Đa,Nhà riêng,110.0,20.0,30,30
Hà Đông,Căn hộ chung cư,82.0,3.1,2,2
Hà Đông,Căn hộ chung cư,91.0,5.25,3,2
Hoàng Mai,Nhà riêng,45.0,8.8,4,4
Nam Từ Liêm,Căn hộ chung cư,63.0,3.18,2,2
Hà Đông,Căn hộ chung cư,118.0,4.96,3,2
Cầu Giấy,Nhà riêng,80.0,16.9,20,20
Hà Đông,Nhà riêng,34.0,4.0,3,3
Đống Đa,Căn hộ chung cư,77.0,3.95,3,2
Hà Đông,Căn hộ chung cư,75.0,4.0,2,2
Hoàng Mai,Căn hộ chung cư,55.0,2.0,2,1
Hoàng Mai,Nhà riêng,54.0,10.5,10,10
Đống Đa,Căn hộ chung cư,155.0,8.2,4,2
Bắc Từ Liêm,Nhà riêng,45.0,4.1,5,4
Hà Đông,Căn hộ chung cư,103.0,3.9,3,2
Cầu Giấy,Căn hộ chung cư,119.0,5.5,3,2
Hà Đông,Căn hộ chung cư,118.0,4.0,3,3
Hà Đông,Căn hộ chung cư,100.0,3.7,3,2
Thanh Xuân,Căn hộ chung cư,115.0,6.8,3,2
Hà Đông,Nhà mặt phố,50.0,13.5,4,3
Cầu Giấy,Nhà riêng,50.0,14.5,5,7
Nam Từ Liêm,Nhà riêng,52.0,4.5,4,3
Nam Từ Liêm,Căn hộ chung cư,47.0,2.85,1,1
Hoài Đức,Nhà riêng,37.0,3.85,4,3
Đống Đa,Nhà riêng,92.0,14.5,5,6
Nam Từ Liêm,Nhà riêng,35.0,5.45,10,6
Hà Đông,Căn hộ chung cư,74.0,2.9,2,2
Nam Từ Liêm,Nhà riêng,70.0,22.0,4,5
Thanh Xuân,Căn hộ chung cư,79.0,3.5,2,2
Cầu Giấy,Căn hộ chung cư,76.0,5.5,2,2
Long Biên,Căn hộ chung cư,63.0,2.86,2,2
Hà Đông,Căn hộ chung cư,48.0,2.13,2,1
Hà Đông,Căn hộ chung cư,62.0,2.58,2,2
Hà Đông,Căn hộ chung cư,48.0,2.07,1,1
Hà Đông,Căn hộ chung cư,65.0,2.65,2,2
Bắc Từ Liêm,Nhà riêng,16.0,1.6,2,1
Thanh Trì,Nhà riêng,32.0,3.9,3,4
Long Biên,Nhà riêng,58.0,8.8,4,4
Long Biên,Nhà riêng,106.0,18.0,2,2
Thanh Trì,Nhà riêng,32.0,3.63,3,3
Thanh Trì,Nhà riêng,32.0,3.4,3,3
Hà Đông,Căn hộ chung cư,82.0,2.9,2,1
Long Biên,Căn hộ chung cư,86.0,4.3,3,3
Cầu Giấy,Căn hộ chung cư,98.0,5.9,3,2
Thanh Trì,Nhà riêng,32.0,1.78,2,1
Đống Đa,Nhà riêng,37.0,4.98,3,3
Ba Đình,Nhà riêng,48.0,5.25,4,4
Đống Đa,Nhà mặt phố,110.0,25.0,2,2
Hoàng Mai,Nhà riêng,44.0,6.5,5,3
Nam Từ Liêm,Căn hộ chung cư,60.0,3.0,2,2
Thanh Xuân,Căn hộ chung cư,110.0,6.7,3,2
Nam Từ Liêm,Căn hộ chung cư,61.0,3.6,2,2
Hà Đông,Căn hộ chung cư,75.0,3.3,2,1
Nam Từ Liêm,Căn hộ chung cư,64.0,4.0,2,2
Hai Bà Trưng,Nhà mặt phố,73.0,29.5,4,4
Tây Hồ,Nhà riêng,47.0,11.0,6,4
Tây Hồ,Nhà riêng,100.0,16.5,3,4
Ba Đình,Nhà riêng,65.0,12.8,12,12
Thanh Xuân,Nhà riêng,36.0,6.8,4,4
Long Biên,Căn hộ chung cư,120.0,6.8,3,2
Cầu Giấy,Nhà riêng,68.0,9.9,4,3
Nam Từ Liêm,Nhà riêng,66.0,7.99,6,6
Long Biên,Căn hộ chung cư,79.0,3.55,3,2
Hoài Đức,Nhà riêng,33.0,3.85,4,4
Đan Phượng,Căn hộ chung cư,62.0,2.0,2,2
Đống Đa,Nhà riêng,63.0,5.85,5,4
Hoàng Mai,Căn hộ chung cư,67.0,2.15,2,2
Đống Đa,Nhà riêng,50.0,12.5,3,3
Tây Hồ,Nhà riêng,55.0,4.6,2,1
Thanh Trì,Căn hộ chung cư,77.0,2.89,2,2
Bắc Từ Liêm,Nhà riêng,36.0,2.85,2,1
Hoàng Mai,Nhà riêng,48.0,5.85,4,5
Đống Đa,Nhà mặt phố,267.0,60.0,2,2
Tây Hồ,Nhà riêng,56.0,7.9,4,4
Hà Đông,Nhà riêng,51.0,5.2,4,3
Cầu Giấy,Nhà riêng,141.0,22.5,5,5
Hà Đông,Căn hộ chung cư,80.0,3.1,2,2
Tây Hồ,Nhà riêng,82.0,18.9,6,6
Nam Từ Liêm,"Nhà biệt thự, liền kề",85.0,13.7,5,5
Tây Hồ,Nhà riêng,105.0,33.5,8,8
Tây Hồ,Căn hộ chung cư,88.0,9.6,2,2
Nam Từ Liêm,Căn hộ chung cư,106.0,5.2,3,2
Đống Đa,Nhà riêng,82.0,22.95,5,6
Nam Từ Liêm,Căn hộ chung cư,60.0,3.0,2,2
Nam Từ Liêm,Căn hộ chung cư,158.0,10.9,3,2
Hoàng Mai,Căn hộ chung cư,70.0,3.25,2,2
Thanh Trì,Căn hộ chung cư,52.0,1.5,1,1
Bắc Từ Liêm,Nhà riêng,60.0,6.7,4,4
Tây Hồ,Nhà riêng,55.0,11.2,17,17
Thanh Xuân,Nhà riêng,41.0,7.99,4,5
Hoàng Mai,Nhà riêng,34.0,4.05,3,3
Cầu Giấy,Nhà riêng,96.0,22.0,36,36
Thanh Xuân,Nhà riêng,52.0,9.3,5,4
Hoàng Mai,Nhà riêng,39.0,5.7,4,3
Gia Lâm,Căn hộ chung cư,68.0,2.6,2,2
Ba Đình,Nhà riêng,40.0,7.7,4,4
Cầu Giấy,Căn hộ chung cư,100.0,5.5,2,2
Thanh Xuân,Nhà riêng,63.0,13.8,16,16
Đống Đa,Nhà riêng,38.0,6.49,4,5
Thanh Xuân,Nhà riêng,60.0,9.8,12,12
Hoàng Mai,Nhà riêng,64.0,11.0,3,2
Cầu Giấy,Nhà riêng,60.0,12.8,18,18
Tây Hồ,Căn hộ chung cư,180.0,18.5,4,4
Cầu Giấy,Căn hộ chung cư,80.0,5.2,2,2
Hoàng Mai,Nhà riêng,38.0,4.2,3,4
Cầu Giấy,Nhà riêng,64.0,16.3,17,17
Thanh Xuân,Nhà riêng,45.0,11.2,5,7
Hoàng Mai,Nhà mặt phố,64.0,11.0,3,2
Hoàng Mai,Nhà riêng,86.0,21.5,25,25
Cầu Giấy,Căn hộ chung cư,178.0,8.8,4,2
Hoàng Mai,Căn hộ chung cư,80.0,3.85,2,2
Hoàng Mai,Nhà riêng,30.0,3.8,3,4
Hoàng Mai,Nhà riêng,93.0,22.0,23,14
Cầu Giấy,Căn hộ chung cư,130.0,8.5,3,2
Nam Từ Liêm,Căn hộ chung cư,127.0,5.1,3,2
Ba Đình,Nhà riêng,300.0,98.0,52,55
Nam Từ Liêm,Căn hộ chung cư,90.0,4.4,2,2
Hoàng Mai,Nhà riêng,30.0,3.9,3,4
Cầu Giấy,Căn hộ chung cư,95.0,5.0,3,2
Hoàng Mai,Nhà riêng,60.0,14.6,4,4
Nam Từ Liêm,Căn hộ chung cư,75.0,3.7,2,2
Thanh Xuân,Nhà mặt phố,70.0,21.0,6,5
Gia Lâm,Căn hộ chung cư,47.0,1.7,1,1
Nam Từ Liêm,Căn hộ chung cư,146.0,5.6,3,2
Hoàng Mai,Nhà riêng,31.0,3.9,4,4
Hoàng Mai,Căn hộ chung cư,81.0,3.55,3,2
Đống Đa,Nhà mặt phố,41.0,16.8,2,2
Gia Lâm,Căn hộ chung cư,80.0,2.9,3,2
Hoàng Mai,Nhà riêng,45.0,11.0,6,5
Hoàng Mai,Căn hộ chung cư,65.0,3.1,2,2
Cầu Giấy,Căn hộ chung cư,100.0,6.0,2,2
Hoàng Mai,Căn hộ chung cư,77.0,2.44,3,2
Nam Từ Liêm,Căn hộ chung cư,55.0,2.3,2,1
Hà Đông,Căn hộ chung cư,172.0,6.5,3,2
Thanh Xuân,Nhà riêng,45.0,14.95,4,4
Hà Đông,Căn hộ chung cư,103.0,3.3,3,3
Nam Từ Liêm,Căn hộ chung cư,100.0,5.2,3,2
Hoàng Mai,Căn hộ chung cư,80.0,3.35,2,2
Cầu Giấy,Căn hộ chung cư,150.0,7.0,3,2
Cầu Giấy,Căn hộ chung cư,90.0,6.3,3,2
Cầu Giấy,Căn hộ chung cư,90.0,5.0,2,2
Gia Lâm,Căn hộ chung cư,30.0,1.3,1,1
Hoàng Mai,Căn hộ chung cư,115.0,5.65,3,2
Thanh Xuân,Nhà mặt phố,84.0,33.0,5,4
Cầu Giấy,Căn hộ chung cư,115.0,6.5,3,2
Cầu Giấy,Căn hộ chung cư,105.0,5.3,3,2
Thanh Xuân,Nhà mặt phố,82.0,32.0,6,6
Nam Từ Liêm,Căn hộ chung cư,105.0,4.6,3,2
Cầu Giấy,Căn hộ chung cư,72.0,4.0,2,2
Hoàng Mai,Căn hộ chung cư,52.0,2.39,2,1
Nam Từ Liêm,Căn hộ chung cư,102.0,5.3,3,2
Nam Từ Liêm,Căn hộ chung cư,70.0,3.6,2,2
Nam Từ Liêm,Căn hộ chung cư,263.0,20.0,4,4
Thanh Xuân,Nhà riêng,65.0,18.85,10,10
Cầu Giấy,Căn hộ chung cư,135.0,7.8,3,2
Cầu Giấy,Căn hộ chung cư,72.0,4.2,2,2
Cầu Giấy,Căn hộ chung cư,149.0,5.8,4,2
Nam Từ Liêm,Căn hộ chung cư,95.0,4.3,3,2
Cầu Giấy,Căn hộ chung cư,100.0,5.8,2,2
Nam Từ Liêm,Căn hộ chung cư,53.0,3.5,2,1
Nam Từ Liêm,Căn hộ chung cư,97.0,5.5,3,2
Hà Đông,Nhà riêng,43.0,6.85,3,2
Nam Từ Liêm,Căn hộ chung cư,90.0,4.1,3,2
Hà Đông,Nhà riêng,32.0,2.9,3,4
Bắc Từ Liêm,Căn hộ chung cư,67.0,3.3,2,2
Nam Từ Liêm,Căn hộ chung cư,70.0,3.3,2,2
Nam Từ Liêm,Căn hộ chung cư,136.0,11.9,3,2
Nam Từ Liêm,Căn hộ chung cư,75.0,3.4,2,2
Nam Từ Liêm,Căn hộ chung cư,55.0,4.4,2,2
Nam Từ Liêm,Căn hộ chung cư,85.0,4.7,3,2
Cầu Giấy,Căn hộ chung cư,80.0,5.5,2,2
Cầu Giấy,Căn hộ chung cư,75.0,4.7,2,2
Nam Từ Liêm,Căn hộ chung cư,60.0,3.2,2,1
Cầu Giấy,Căn hộ chung cư,118.0,5.5,3,2
Thanh Xuân,Nhà mặt phố,63.0,17.99,3,3
Thanh Xuân,Nhà riêng,58.0,9.0,6,4
Nam Từ Liêm,Căn hộ chung cư,119.0,5.0,3,2
Thanh Xuân,Nhà riêng,56.0,12.5,6,4
Nam Từ Liêm,Căn hộ chung cư,98.0,3.9,3,2
Bắc Từ Liêm,Căn hộ chung cư,83.0,6.8,3,2
Hà Đông,Căn hộ chung cư,75.0,2.7,2,2
Hoàng Mai,Nhà riêng,32.0,4.4,3,5
Cầu Giấy,Căn hộ chung cư,169.0,8.5,4,3
Cầu Giấy,Căn hộ chung cư,120.0,7.6,3,2
Hai Bà Trưng,Nhà riêng,44.0,8.2,5,6
Hoàng Mai,Căn hộ chung cư,68.0,2.4,2,2
Hà Đông,Căn hộ chung cư,136.0,5.5,3,2
Hoàng Mai,Căn hộ chung cư,45.0,1.4,2,1
Thanh Xuân,Nhà riêng,70.0,15.9,5,4
Nam Từ Liêm,Căn hộ chung cư,156.0,6.3,3,2
Nam Từ Liêm,Căn hộ chung cư,110.0,5.5,3,2
Thanh Xuân,Nhà mặt phố,62.0,16.99,4,4
Hoàng Mai,Nhà riêng,42.0,9.5,4,3
Hai Bà Trưng,Nhà mặt phố,68.0,22.2,9,9
Thanh Trì,Căn hộ chung cư,67.0,3.4,2,2
Nam Từ Liêm,Căn hộ chung cư,73.0,4.8,3,2
Thanh Trì,Căn hộ chung cư,95.0,4.5,3,2
Nam Từ Liêm,Căn hộ chung cư,105.0,5.5,3,2
Bắc Từ Liêm,Căn hộ chung cư,75.0,3.4,2,2
Cầu Giấy,Căn hộ chung cư,77.0,5.8,2,2
Hà Đông,Căn hộ chung cư,95.0,4.5,3,2
Hoàng Mai,Nhà riêng,30.0,4.25,3,4
Hà Đông,Căn hộ chung cư,90.0,2.85,3,2
Hoàng Mai,Căn hộ chung cư,65.0,1.75,2,2
Nam Từ Liêm,Căn hộ chung cư,132.0,5.5,3,2
Cầu Giấy,Nhà riêng,42.0,8.0,5,4
Hoàng Mai,Căn hộ chung cư,83.0,2.75,2,2
Cầu Giấy,Căn hộ chung cư,110.0,7.5,3,2
Cầu Giấy,Căn hộ chung cư,75.0,4.5,2,2
Bắc Từ Liêm,Nhà riêng,55.0,4.0,4,4
Long Biên,Nhà riêng,76.0,20.3,4,3
Long Biên,Nhà riêng,30.0,4.0,3,4
Bắc Từ Liêm,Nhà riêng,85.0,5.6,6,5
Hoài Đức,Nhà riêng,33.0,4.95,3,4
Hai Bà Trưng,Nhà mặt phố,110.0,6.2,3,2
Nam Từ Liêm,Căn hộ chung cư,110.0,3.9,2,2
Nam Từ Liêm,Căn hộ chung cư,98.0,4.0,3,2
Nam Từ Liêm,Căn hộ chung cư,75.0,3.5,2,2
Cầu Giấy,Căn hộ chung cư,101.0,5.5,2,2
Nam Từ Liêm,Căn hộ chung cư,135.0,6.6,3,2
Nam Từ Liêm,Căn hộ chung cư,100.0,5.0,3,2
Nam Từ Liêm,Căn hộ chung cư,70.0,3.5,2,2
Cầu Giấy,Căn hộ chung cư,78.0,5.5,2,2
Cầu Giấy,Căn hộ chung cư,95.0,5.8,2,2
Thanh Xuân,Nhà riêng,54.0,8.0,4,4
Nam Từ Liêm,Căn hộ chung cư,54.0,3.3,2,1
Cầu Giấy,Căn hộ chung cư,140.0,7.4,3,2
Nam Từ Liêm,Căn hộ chung cư,61.0,3.7,2,2
Nam Từ Liêm,Căn hộ chung cư,29.0,1.6,1,1
Cầu Giấy,Nhà riêng,62.0,20.6,16,17
Cầu Giấy,Căn hộ chung cư,154.0,9.0,4,3
Cầu Giấy,Căn hộ chung cư,90.0,4.8,2,2
Long Biên,Nhà riêng,75.0,13.9,8,8
Nam Từ Liêm,Căn hộ chung cư,101.0,5.5,3,2
Hoàng Mai,Nhà riêng,40.0,5.65,4,4
Cầu Giấy,Căn hộ chung cư,138.0,6.6,3,2
Hoàng Mai,Nhà riêng,40.0,5.6,4,4
Thanh Xuân,Nhà riêng,40.0,7.68,4,4
Thanh Xuân,Nhà mặt phố,180.0,55.0,7,14
Hà Đông,Căn hộ chung cư,90.0,4.9,3,2
Hoàng Mai,Nhà riêng,33.0,5.5,3,4
Cầu Giấy,Căn hộ chung cư,126.0,7.0,3,2
Nam Từ Liêm,Nhà riêng,38.0,5.3,3,4
Cầu Giấy,Căn hộ chung cư,72.0,4.7,2,2
Bắc Từ Liêm,Nhà riêng,35.0,4.7,4,4
Hoàng Mai,Nhà riêng,31.0,3.9,3,4
Hà Đông,Căn hộ chung cư,114.0,4.8,3,2
Thanh Xuân,Nhà riêng,72.0,9.9,4,3
Nam Từ Liêm,Nhà riêng,34.0,5.2,4,3
Nam Từ Liêm,Căn hộ chung cư,65.0,3.0,2,2
Nam Từ Liêm,Nhà riêng,44.0,5.55,4,3
Hà Đông,Căn hộ chung cư,60.0,2.9,2,2
Nam Từ Liêm,Nhà riêng,36.0,5.2,3,4
Thanh Xuân,Căn hộ chung cư,81.0,5.26,2,2
Nam Từ Liêm,Căn hộ chung cư,99.0,5.2,3,2
Cầu Giấy,Nhà riêng,33.0,5.5,4,5
Long Biên,Nhà riêng,37.0,5.7,4,4
Hoàng Mai,Nhà riêng,31.0,3.85,3,4
Hoàng Mai,Nhà riêng,45.0,4.4,4,4
Hoài Đức,Nhà riêng,30.0,2.75,3,4
Tây Hồ,Nhà riêng,46.0,4.2,3,3
Nam Từ Liêm,Nhà riêng,75.0,1.15,2,1
Hà Đông,Nhà mặt phố,45.0,11.4,8,6
Thanh Xuân,Nhà mặt phố,61.0,17.0,4,4
Cầu Giấy,Nhà riêng,31.0,19.5,4,5
Nam Từ Liêm,Căn hộ chung cư,94.0,6.1,3,2
Bắc Từ Liêm,Nhà riêng,130.0,15.5,26,26
Hoàng Mai,Nhà riêng,60.0,9.5,12,12
Hoàng Mai,Căn hộ chung cư,118.0,6.15,3,2
Thanh Xuân,Nhà riêng,50.0,12.2,14,14
Cầu Giấy,Nhà riêng,33.0,5.65,3,4
Tây Hồ,Nhà riêng,37.0,5.99,3,4
Cầu Giấy,Căn hộ chung cư,68.0,4.5,2,2
Bắc Từ Liêm,Căn hộ chung cư,74.0,3.7,2,2
Cầu Giấy,Nhà riêng,67.0,9.0,8,6
Cầu Giấy,Nhà riêng,33.0,5.6,4,4
Nam Từ Liêm,Nhà mặt phố,50.0,23.0,6,6
Hà Đông,Nhà mặt phố,55.0,13.7,6,7
Thanh Xuân,Căn hộ chung cư,100.0,6.4,2,2
Hoàng Mai,Nhà riêng,36.0,4.65,4,4
Đống Đa,Nhà riêng,54.0,11.0,12,12
Ba Đình,Nhà mặt phố,82.0,26.0,4,4
Nam Từ Liêm,Nhà riêng,34.0,5.2,3,4
Cầu Giấy,Nhà mặt phố,300.0,145.0,5,6
Bắc Từ Liêm,Căn hộ chung cư,123.0,7.01,3,2
Đống Đa,Nhà mặt phố,410.0,215.0,10,10
Nam Từ Liêm,Nhà riêng,40.0,6.4,3,3
Nam Từ Liêm,Căn hộ chung cư,36.0,1.85,1,1
Nam Từ Liêm,Căn hộ chung cư,82.0,5.4,3,2
Thanh Xuân,Nhà mặt phố,100.0,45.0,8,8
Bắc Từ Liêm,Căn hộ chung cư,83.0,4.8,3,2
Cầu Giấy,Nhà riêng,70.0,30.0,4,4
Hà Đông,Căn hộ chung cư,57.0,2.5,2,2
Ba Đình,Căn hộ chung cư,120.0,3.95,3,3
Đống Đa,Nhà riêng,62.0,15.8,2,6
Nam Từ Liêm,Nhà riêng,34.0,5.2,3,4
Ba Đình,Nhà mặt phố,110.0,59.0,20,22
Hoàng Mai,Nhà riêng,50.0,8.5,5,5
Bắc Từ Liêm,Căn hộ chung cư,95.0,5.7,3,2
Hai Bà Trưng,Nhà riêng,37.0,5.8,2,3
Hai Bà Trưng,Nhà mặt phố,200.0,160.0,12,12
Tây Hồ,Nhà riêng,30.0,4.5,3,4
Hoài Đức,Căn hộ chung cư,68.0,3.3,2,2
Tây Hồ,Nhà mặt phố,90.0,37.0,8,9
Thanh Xuân,Nhà mặt phố,95.0,33.9,5,9
Gia Lâm,Căn hộ chung cư,79.0,4.0,3,2
Bắc Từ Liêm,Nhà riêng,80.0,12.5,15,15
Gia Lâm,Nhà mặt phố,55.0,4.1,2,1
Long Biên,Nhà riêng,65.0,16.7,4,4
Đống Đa,Nhà riêng,54.0,7.95,4,5
Cầu Giấy,Nhà riêng,53.0,12.1,4,4
Long Biên,Nhà riêng,50.0,7.5,4,6
Long Biên,Nhà riêng,60.0,13.8,3,5
Hai Bà Trưng,Căn hộ chung cư,95.0,5.12,3,3
Long Biên,Nhà riêng,100.0,14.0,14,14
Hoàng Mai,Nhà mặt phố,60.0,18.7,4,4
Hoàng Mai,Nhà riêng,77.0,6.7,4,3
Hoàng Mai,Căn hộ chung cư,80.0,4.3,2,2
Hoài Đức,Căn hộ chung cư,96.0,3.65,3,2
Long Biên,Nhà riêng,150.0,31.5,20,22
Nam Từ Liêm,Nhà mặt phố,136.0,55.0,6,6
Hoàng Mai,Căn hộ chung cư,79.0,4.3,2,2
Long Biên,Nhà riêng,55.0,9.45,4,4
Hoài Đức,Căn hộ chung cư,69.0,2.1,2,1
Hoài Đức,Căn hộ chung cư,71.0,2.58,2,2
Long Biên,Nhà mặt phố,144.0,21.8,3,3
Long Biên,Nhà riêng,44.0,8.0,4,4
Long Biên,Nhà riêng,69.0,7.15,4,3
Hoài Đức,Căn hộ chung cư,62.0,2.34,2,1
Tây Hồ,Nhà riêng,41.0,10.5,4,5
Hoài Đức,Nhà riêng,30.0,2.65,3,3
Hoài Đức,Căn hộ chung cư,70.0,2.45,2,2
Tây Hồ,Nhà riêng,38.0,6.65,3,4
Hai Bà Trưng,Nhà mặt phố,120.0,28.0,3,2
Hai Bà Trưng,Nhà mặt phố,91.0,31.0,8,8
Hà Đông,Nhà riêng,50.0,7.9,12,24
Nam Từ Liêm,Căn hộ chung cư,110.0,7.2,3,2
Long Biên,Nhà riêng,226.0,12.7,4,1
Nam Từ Liêm,Căn hộ chung cư,79.0,4.2,2,2
Hà Đông,Nhà mặt phố,60.0,15.9,6,4
Hoài Đức,Căn hộ chung cư,67.0,2.59,2,2
Hoàng Mai,Nhà riêng,40.0,4.45,3,4
Nam Từ Liêm,Căn hộ chung cư,42.0,2.1,1,1
Hoàng Mai,Nhà riêng,55.0,5.0,4,4
Hai Bà Trưng,Nhà riêng,24.0,2.65,2,2
Hoài Đức,Căn hộ chung cư,70.0,2.55,2,2
Hà Đông,Căn hộ chung cư,96.0,3.26,3,2
Bắc Từ Liêm,Nhà riêng,35.0,3.15,3,4
Long Biên,Nhà riêng,30.0,3.4,3,4
Hoàng Mai,Căn hộ chung cư,132.0,9.0,3,4
Hoài Đức,Nhà riêng,56.0,5.85,9,10
Ba Đình,Căn hộ chung cư,120.0,16.0,3,2
Nam Từ Liêm,Căn hộ chung cư,69.0,2.95,2,2
Hoàng Mai,Nhà riêng,36.0,3.66,4,5
Long Biên,Nhà mặt phố,48.0,8.6,5,4
Hoài Đức,Nhà riêng,32.0,3.05,3,4
Gia Lâm,Căn hộ chung cư,64.0,2.5,2,2
Long Biên,Căn hộ chung cư,97.0,4.95,3,2
Nam Từ Liêm,Căn hộ chung cư,75.0,3.3,2,2
Hoài Đức,Nhà riêng,33.0,2.75,4,4
Thanh Trì,Căn hộ chung cư,75.0,3.6,2,2
Nam Từ Liêm,Nhà riêng,32.0,3.55,4,3
Cầu Giấy,Căn hộ chung cư,87.0,4.55,2,2
Hà Đông,Nhà riêng,48.0,6.9,5,5
Hai Bà Trưng,Nhà riêng,53.0,5.8,3,4
Long Biên,Nhà riêng,45.0,5.5,3,3
Nam Từ Liêm,Căn hộ chung cư,96.0,5.2,3,2
Hoàng Mai,Nhà riêng,145.0,19.0,1,1
Nam Từ Liêm,Căn hộ chung cư,78.0,4.3,2,2
Đông Anh,Nhà riêng,85.0,9.5,7,7
Cầu Giấy,Căn hộ chung cư,64.0,4.3,2,2
Hoài Đức,Nhà riêng,62.0,9.3,18,18
Nam Từ Liêm,Căn hộ chung cư,90.0,4.0,3,2
Gia Lâm,Căn hộ chung cư,71.0,3.2,2,2
Đống Đa,Nhà riêng,36.0,6.8,4,4
Bắc Từ Liêm,Nhà mặt phố,144.0,42.0,11,11
Hoàng Mai,Nhà mặt phố,317.0,65.0,2,2
Hoàng Mai,Nhà mặt phố,206.0,58.5,6,6
Hoàng Mai,Nhà mặt phố,320.0,145.0,12,12
Nam Từ Liêm,Nhà riêng,70.0,13.9,14,15
Bắc Từ Liêm,Nhà riêng,121.0,39.5,48,48
Long Biên,Nhà mặt phố,106.0,32.5,26,26
Nam Từ Liêm,Nhà riêng,45.0,16.8,4,7
Thanh Xuân,Nhà mặt phố,221.0,81.0,12,12
Tây Hồ,Nhà riêng,45.0,10.5,5,5
Ba Đình,Nhà mặt phố,250.0,148.0,2,2
Tây Hồ,Nhà mặt phố,961.0,345.0,2,2
Tây Hồ,Nhà mặt phố,60.0,27.6,5,6
Đống Đa,Nhà mặt phố,58.0,31.9,10,10
Ba Đình,Nhà riêng,96.0,27.5,6,6
Long Biên,Nhà mặt phố,70.0,16.0,2,2
Đống Đa,Nhà mặt phố,80.0,32.0,8,8
Đống Đa,Nhà mặt phố,181.0,89.0,6,6
Hai Bà Trưng,Nhà mặt phố,200.0,102.0,6,6
Nam Từ Liêm,Căn hộ chung cư,115.0,8.8,3,2
Thanh Xuân,Nhà mặt phố,310.0,133.0,11,11
Đống Đa,Nhà riêng,35.0,6.5,3,4
Hà Đông,Nhà mặt phố,500.0,86.0,8,8
Tây Hồ,Nhà riêng,43.0,6.7,3,4
Tây Hồ,Nhà mặt phố,314.0,75.0,4,4
Hai Bà Trưng,Nhà mặt phố,300.0,155.0,4,4
Cầu Giấy,Nhà mặt phố,117.0,55.0,6,6
Hoàn Kiếm,Nhà mặt phố,80.0,34.0,1,1
Hai Bà Trưng,Nhà riêng,30.0,5.2,3,4
Cầu Giấy,Nhà mặt phố,120.0,61.0,12,12
Cầu Giấy,Nhà mặt phố,320.0,96.0,20,20
Bắc Từ Liêm,Căn hộ chung cư,100.0,6.5,4,3
Hoàng Mai,Nhà riêng,36.0,3.78,5,4
Cầu Giấy,Nhà mặt phố,290.0,179.0,12,11
Hoàng Mai,Nhà riêng,45.0,4.95,4,4
Hoàn Kiếm,Nhà mặt phố,80.0,35.0,1,1
Cầu Giấy,Nhà mặt phố,130.0,79.0,4,6
Cầu Giấy,Nhà mặt phố,52.0,28.5,8,5
Cầu Giấy,Nhà mặt phố,155.0,95.0,25,25
Thạch Thất,Căn hộ chung cư,57.0,1.0,2,1
Thanh Xuân,Nhà riêng,33.0,4.53,3,3
Đống Đa,Nhà mặt phố,72.0,16.6,1,1
Tây Hồ,Nhà riêng,95.0,21.9,20,21
Nam Từ Liêm,Căn hộ chung cư,90.0,5.0,3,2
Hoàn Kiếm,Nhà mặt phố,40.0,21.8,3,3
Hoàng Mai,Căn hộ chung cư,85.0,4.0,2,2
Thanh Xuân,Căn hộ chung cư,55.0,3.3,2,2
Thanh Xuân,Căn hộ chung cư,167.0,12.0,4,3
Thanh Trì,Căn hộ chung cư,56.0,1.78,2,2
Nam Từ Liêm,Căn hộ chung cư,94.0,6.3,3,2
Hà Đông,Nhà riêng,56.0,6.3,6,5
Cầu Giấy,Căn hộ chung cư,130.0,6.0,3,2
Nam Từ Liêm,Căn hộ chung cư,89.0,6.0,2,2
Nam Từ Liêm,Căn hộ chung cư,78.0,3.5,2,2
Long Biên,Nhà riêng,86.0,18.6,6,7
Đống Đa,Nhà riêng,54.0,12.0,6,6
Đống Đa,Nhà riêng,31.0,6.5,3,4
Thanh Xuân,Căn hộ chung cư,71.0,4.45,2,2
Hoài Đức,Căn hộ chung cư,66.0,2.65,2,2
Thanh Xuân,Căn hộ chung cư,80.0,4.5,2,2
Nam Từ Liêm,Nhà riêng,40.0,6.5,9,6
Cầu Giấy,Nhà mặt phố,105.0,13.86,8,4
Hoàng Mai,Căn hộ chung cư,75.0,2.08,2,2
Cầu Giấy,Căn hộ chung cư,103.0,5.5,3,2
Gia Lâm,Căn hộ chung cư,46.0,1.65,1,1
Thạch Thất,Nhà riêng,130.0,2.2,5,1
Hoàng Mai,Căn hộ chung cư,95.0,3.3,3,2
Bắc Từ Liêm,Nhà riêng,32.0,2.85,4,4
Nam Từ Liêm,Nhà riêng,36.0,3.6,4,5
Nam Từ Liêm,Nhà riêng,32.0,3.75,3,3
Long Biên,Nhà riêng,72.0,13.9,8,9
Bắc Từ Liêm,Nhà riêng,32.0,3.0,3,4
Hà Đông,Căn hộ chung cư,66.0,2.5,2,2
Hoàng Mai,Nhà mặt phố,249.0,36.0,30,30
Đống Đa,Nhà mặt phố,130.0,47.0,8,8
Hoàn Kiếm,Nhà mặt phố,78.0,60.0,20,20
Cầu Giấy,Nhà riêng,50.0,8.4,8,8
Bắc Từ Liêm,Nhà riêng,36.0,4.75,4,4
Đống Đa,Căn hộ chung cư,58.0,2.45,2,1
