Quận,Loại,Diện tích (m²),Mức giá (tỷ),Số phòng ngủ,Số toilet
Bắc Từ Liêm,Căn hộ chung cư,74.0,4.0,2,2
Gia Lâm,Căn hộ chung cư,47.0,2.04,1,1
Ba Đình,Căn hộ chung cư,85.0,9.3,3,3
Thanh Xuân,Căn hộ chung cư,54.0,1.1,2,1
Quốc Oai,Nhà riêng,42.0,2.05,3,2
Nam Từ Liêm,Căn hộ chung cư,78.0,4.8,3,2
Gia Lâm,Căn hộ chung cư,99.0,4.99,3,2
Nam Từ Liêm,Căn hộ chung cư,136.0,7.96,4,3
Nam Từ Liêm,Căn hộ chung cư,114.0,7.5,3,2
Hà Đông,Căn hộ chung cư,82.0,5.7,2,2
Bắc Từ Liêm,Căn hộ chung cư,90.0,4.9,3,2
Nam Từ Liêm,Căn hộ chung cư,80.0,4.8,2,2
Hai Bà Trưng,Căn hộ chung cư,74.0,3.5,2,2
Nam Từ Liêm,Căn hộ chung cư,32.0,1.45,1,1
Nam Từ Liêm,Căn hộ chung cư,55.0,2.2,2,1
Long Biên,Nhà riêng,30.0,2.95,3,4
Nam Từ Liêm,Căn hộ chung cư,52.0,3.1,2,1
Bắc Từ Liêm,Căn hộ chung cư,100.0,5.7,3,2
Bắc Từ Liêm,Nhà mặt phố,172.0,20.0,5,5
Thanh Xuân,Căn hộ chung cư,100.0,6.0,2,2
Cầu Giấy,Căn hộ chung cư,86.0,7.5,3,2
Bắc Từ Liêm,Căn hộ chung cư,80.0,4.2,2,2
Đống Đa,Nhà riêng,89.0,30.0,16,9
Tây Hồ,Căn hộ chung cư,39.0,2.6,1,1
Hai Bà Trưng,Căn hộ chung cư,118.0,5.5,3,2
Long Biên,Căn hộ chung cư,117.0,6.99,4,2
Long Biên,Căn hộ chung cư,89.0,4.0,2,2
Nam Từ Liêm,Căn hộ chung cư,54.0,2.7,2,2
Long Biên,Căn hộ chung cư,89.0,4.0,2,2
Nam Từ Liêm,Căn hộ chung cư,43.0,2.7,1,1
Đống Đa,Nhà riêng,45.0,5.7,5,3
Tây Hồ,Căn hộ chung cư,39.0,2.5,1,1
Bắc Từ Liêm,Căn hộ chung cư,139.0,4.0,3,2
Nam Từ Liêm,Căn hộ chung cư,100.0,6.56,3,2
Gia Lâm,Căn hộ chung cư,66.0,3.1,2,2
Hà Đông,Căn hộ chung cư,125.0,5.4,3,2
Đống Đa,Nhà riêng,38.0,6.8,4,3
Nam Từ Liêm,Nhà riêng,90.0,26.5,24,24
Hà Đông,Căn hộ chung cư,134.0,6.0,3,2
Hoàng Mai,Căn hộ chung cư,76.0,2.68,3,2
Đống Đa,Nhà riêng,35.0,4.7,2,2
Ba Đình,Nhà riêng,37.0,5.6,3,3
Nam Từ Liêm,Căn hộ chung cư,123.0,7.3,3,2
Hai Bà Trưng,Căn hộ chung cư,125.0,8.0,3,2
Cầu Giấy,Nhà riêng,40.0,13.8,6,3
Hoàng Mai,Căn hộ chung cư,68.0,2.1,2,1
Cầu Giấy,Căn hộ chung cư,114.0,7.8,2,2
Cầu Giấy,Căn hộ chung cư,116.0,8.55,3,2
